Town,Box code,Street code,City
10TH AVENUE,,6242,
11TH AVENUE,5850,,SOMERSET EAST
1ST AVENUE,,6242,
42ND HILL,,9880,HARRISMITH
45TH CUTTING,,4091,DURBAN
AALWYNFLEUR,,6670,RIVERSDALE
AANDRUS,,9301,BLOEMFONTEIN
ABAPHEHLI,4126,,DOONSIDE
ABBOTSDALE,,7300,MALMESBURY
ABBOTSFORD,,2192,JOHANNESBURG
ABBOTSFORD,,5241,EAST LONDON
ABBOTSPOORT,0608,,POTGIETERSRUS
ABC,,6242,
ABEL,0884,,POLOKWANE
ABERDEEN,6270,6270,-
ABERDEEN TSP,,6270,ABERDEEN
ABERDEEN DGD,,6270,ABERDEEN
ACACIAVILLE,3370,,LADYSMITH
ACKERVILLE,1039,1039,WITBANK
ACORN,,3610,
ACORNHOEK,1360,,NELSPRUIT
ACTIVIA PARK,,1429,GERMISTON
ACTON CABA,5401,,TSOMO
ACTON HOMES,3352,,BERGVILLE
ACTONVILLE,1506,1501,BENONI
ACTONVILLE EXT 2,,1501,BENONI
ACTONVILLE UIT 2,,1501,BENONI
ACTONVILLE EXT 3,,1501,BENONI
ACTONVILLE UIT 3,,1501,BENONI
ACTONVILLE EXT 4,,1501,BENONI
ACTONVILLE UIT 4,,1501,BENONI
ACTONVILLE EXT 5,,1501,BENONI
ACTONVILLE UIT 5,,1501,BENONI
ADAMAYVIEW,,2571,KLERKSDORP
ADAMS MISSION,4100,,AMANZIMTOTI
ADCOCK VALE,,6001,PORT ELIZABETH
ADCOCK VALE EXT,,6045,NEWTON PARK
ADCOCK VALE UIT,,6045,NEWTON PARK
ADDINGTON,,4001,DURBAN
ADDNEY,0712,,POLOKWANE
ADDO,6105,6105,-
ADELAIDE,5760,5760,-
ADENDORP,6282,6282,-
ADKIN'S POST,5170,,TSOLO
ADMINISTRATION BLOCK,,1431,KATLEHONG
ADMIRALS HILL,,7798,STRANDFONTEIN
ADRIAANSE,,7490,MATROOSFONTEIN
ADVENT,5092,5092,MOUNT FRERE
AERORAND,1070,1055,MIDDELBURG
AEROTON,2013,2190,JOHANNESBURG
AEROVILLE,,5850,SOMERSET EAST
AFGUNS,0534,0534,ELLISRAS
AFRICA,4310,4309,INANDA
AFRICAN ENTERPRISE,3294,,PIETERMARITZBURG
AGAVIA,,1739,KRUGERSDORP
AGGENEYS,8893,,SPRINGBOK
AGINCOURT,1368,,XIMHUNGWE
AGISANANG,2760,2760,SANNIESHOF
AGNES REST,5435,,DORDRECHT
AGTER PAARL,7630,,PAARL
AIKEN STREET,4251,,PORT SHEPSTONE
AIKENSTRAAT,4251,,PORT SHEPSTONE
AIRDLIN,2157,,JOHANNESBURG
AIRFIELD,,1501,BENONI
AIRLIE,,7806,CONSTANTIA
AIRPORT INDUSTRIA,,7490,MATROOSFONTEIN
AKASIA,,0601,POTGIETERSRUS
AKASIAPARK,,7460,GOODWOOD
AKASIE PARK,2520,,POTCHEFSTROOM
ALABAMA,2577,2577,KLERKSDORP
ALAN MANOR,,2091,JOHANNESBURG
ALAN MANOR EXT 2,,2091,JOHANNESBURG
ALAN MANOR UIT 2,,2091,JOHANNESBURG
ALBANY,,3610,PINETOWN
ALBEMARLE,1410,1401,GERMISTON
ALBEMARLE EXT 1,,1401,GERMISTON
ALBEMARLE UIT 1,,1401,GERMISTON
ALBEMARLE EXT 2,,1401,GERMISTON
ALBEMARLE UIT 2,,1401,GERMISTON
ALBERANTE,,1449,ALBERTON
ALBERANTE EXT 1,,1449,ALBERTON
ALBERANTE UIT 1,,1449,ALBERTON
ALBERT LUTHULI,9323,,BLOEMFONTEIN
ALBERTINIA,6695,6695,-
ALBERTON,1450,1449,-
ALBERTON EXT 28,,1449,ALBERTON
ALBERTON UIT 28,,1449,ALBERTON
ALBERTON NORTH,1456,1449,ALBERTON
ALBERTON-NOORD,1456,1449,ALBERTON
ALBERTSDAL,,1448,ALBERTON
